,date,year,num_segs_new,num_segs_distinct_new,sum_seg_length_h_new,sum_seg_day_length_h_new,num_segs_with_idents_new,min_num_idents_new,max_num_idents_new,avg_num_idents_new,total_msg_count_new,total_pos_count_new,total_ident_count_new,num_segs_old,num_segs_distinct_old,sum_seg_length_h_old,sum_seg_day_length_h_old,num_segs_with_idents_old,min_num_idents_old,max_num_idents_old,avg_num_idents_old,total_msg_count_old,total_pos_count_old,total_ident_count_old,num_segs_diff,num_segs_distinct_diff,sum_seg_length_h_diff,sum_seg_day_length_h_diff,num_segs_with_idents_diff,min_num_idents_diff,max_num_idents_diff,avg_num_idents_diff,total_msg_count_diff,total_pos_count_diff,total_ident_count_diff,avg_seg_length_h_new,avg_seg_length_h_old,avg_seg_length_h_diff,prop_segs_with_idents_new,prop_segs_with_idents_old,prop_segs_with_idents_diff
1,2017-01-01,2017,166801,166801,209688399.0833392,2592368.3999996465,129882,0,99,0.8380405393253022,76334800,24494883,51839917,167253,167253,208426630.50000212,2587648.7166664028,130512,0,99,0.8462150155752133,1283126613,24465691,51079591,-452,-452,1261768.5833370984,4719.683333243709,-630,0,0,-0.008174476249911078,-1206791813,29192,760326,1257.1171580706305,1246.1757367580976,10.941421312532839,0.7786643964964238,0.7803268102814299,-630
2,2017-01-02,2017,170414,170414,210429931.00001025,2557511.9333330463,132682,0,103,0.831580738671705,73204117,23725939,49478178,170943,170943,209134618.43333352,2553482.2333330684,133208,0,103,0.8360213638464385,1297308741,23689206,48652385,-529,-529,1295312.5666767359,4029.6999999778345,-526,0,0,-0.004440625174733537,-1224104624,36733,825793,1234.8159834286516,1223.417270279178,11.398713149473679,0.7785862663865645,0.7792539033478996,-526
3,2017-01-03,2017,176294,176294,211325868.61667767,2696579.9666664125,137459,0,107,0.8412084359082157,79346823,26067465,53279358,176875,176875,210029060.78333366,2691730.5499997823,138153,0,109,0.8513809187279195,1312896832,26031885,52452396,-581,-581,1296807.8333440125,4849.41666663019,-694,0,-2,-0.010172482819703843,-1233550009,35580,826962,1198.7127674037556,1187.4434531919924,11.26931421176323,0.7797145677107559,0.7810770318021202,-694
4,2017-01-04,2017,179639,179639,211888505.88333726,2715950.0166661646,139372,0,89,0.8338000100200882,80071726,26621557,53450169,180504,180504,210649979.33333138,2710607.8166663176,140112,0,89,0.8419259406993708,1327142345,26583499,52637376,-865,-865,1238526.550005883,5342.199999846984,-740,0,0,-0.008125930679282578,-1247070619,38058,812793,1179.5239668631937,1167.010034865329,12.513931997864574,0.7758448889161039,0.7762265656162745,-740
5,2017-01-05,2017,176772,176772,212158545.88333762,2685404.6999995257,137501,0,90,0.8378872219582363,81450661,26830896,54619765,177420,177420,210949608.94999725,2680530.449999651,138160,0,90,0.8480441889302259,1340347204,26792969,53756509,-648,-648,1208936.9333403707,4874.249999874737,-659,0,0,-0.010156966971989645,-1258896543,37927,863256,1200.181849406793,1188.9843814113249,11.19746799546806,0.7778437761636459,0.7787171683012062,-659
6,2017-01-06,2017,173661,173661,212296678.5000085,2677392.2999995155,134804,0,119,0.8353285999735103,82740715,26822129,55918586,174557,174557,211098461.46666378,2672430.0499995,135726,0,119,0.8462164221429004,1352069315,26783598,55046498,-896,-896,1198217.0333447158,4962.250000015367,-922,0,0,-0.010887822169390104,-1269328600,38531,872088,1222.4775770035212,1209.3382761313712,13.139300872149988,0.7762479773812198,0.7775454436086779,-922
7,2017-01-07,2017,169599,169599,212409092.40001288,2635892.3999995436,132300,0,67,0.8375815895141014,82491045,26627361,55863684,170157,170157,211211601.4666639,2631171.5333329774,133045,0,67,0.8478816622295949,1363199533,26588296,54982531,-558,-558,1197490.9333489835,4720.866666566115,-745,0,0,-0.010300072715493491,-1280708488,39065,881153,1252.4194859640263,1241.2748312832496,11.144654680776739,0.7800753542178904,0.7818955435274482,-745
8,2017-01-08,2017,165816,165816,212740911.5499994,2591348.949999623,129518,0,88,0.8376513726057718,80163668,26032704,54130964,166429,166429,211526651.3666781,2587019.766666233,130266,0,90,0.8472261444820265,1374606997,25991917,53161195,-613,-613,1214260.1833212972,4329.183333389927,-748,0,-2,-0.009574771876254662,-1294443329,40787,969769,1282.9938700125404,1270.9723147208604,12.021555291679988,0.7810947073865007,0.7827121475223668,-748
9,2017-01-09,2017,172137,172137,213274756.96666744,2625863.6666662274,133601,0,88,0.8306697572282621,78437139,25894891,52542248,172733,172733,212074490.80000162,2621190.3166663507,134318,0,88,0.8403605564657584,1387307045,25856435,51698651,-596,-596,1200266.1666658223,4673.349999876693,-717,0,0,-0.009690799237496273,-1308869906,38456,843597,1238.982653158051,1227.7589736761454,11.22367948190572,0.7761318019949226,0.7776047425795881,-717
10,2017-01-10,2017,174783,174783,213558031.550009,2644076.5333328354,134145,0,105,0.8204001533329814,79465216,26035659,53429557,175421,175421,212346326.2500016,2639198.733332919,134964,0,105,0.8298094298858227,1396792834,25997164,52591956,-638,-638,1211705.300007403,4877.79999991646,-819,0,0,-0.009409276552841295,-1317327618,38495,837601,1221.8466987636614,1210.495472320883,11.351226442778398,0.767494550385335,0.7693719680083912,-819
