,date,year,num_segs_new,num_segs_distinct_new,sum_seg_length_h_new,sum_seg_day_length_h_new,num_segs_with_idents_new,min_num_idents_new,max_num_idents_new,avg_num_idents_new,total_msg_count_new,total_cumul_msg_count_new,num_segs_old,num_segs_distinct_old,sum_seg_length_h_old,sum_seg_day_length_h_old,num_segs_with_idents_old,min_num_idents_old,max_num_idents_old,avg_num_idents_old,total_msg_count_old,num_segs_diff,num_segs_distinct_diff,sum_seg_length_h_diff,sum_seg_day_length_h_diff,num_segs_with_idents_diff,min_num_idents_diff,max_num_idents_diff,avg_num_idents_diff,total_msg_count_diff,avg_seg_length_h_new,avg_seg_length_h_old,avg_seg_length_h_diff,prop_segs_with_idents_new,prop_segs_with_idents_old,prop_segs_with_idents_diff
10,2017-01-11,2017,173809,173809,214014591.0166668,2669386.2000000007,133817,0,107,0.8243128951895474,26427621,1416783420,534493,534493,212795642.18332928,2664469.81666658,134498,0,108,0.27238149049660326,1478458631,-360684,-360684,1218948.8333375156,4916.383333420847,-681,0,-1,0.5519314046929442,-1452031010,1231.3205358564103,398.1261535386418,833.1943823177685,0.769908347668993,0.2516365976729349,-681
11,2017-01-12,2017,174991,174991,214743777.85000023,2685149.6499999957,134942,0,80,0.8286483304855672,27084988,1429790448,539224,539224,213511694.83333007,2679502.66666661,135669,0,82,0.2727141225168076,1490572496,-364233,-364233,1232083.0166701674,5646.9833333855495,-727,0,-2,0.5559342079687596,-1463487508,1227.1704136212734,395.9610381461694,831.209375475104,0.7711368013212108,0.2516004480512737,-727
12,2017-01-13,2017,169424,169424,215098228.73333344,2628192.1499999966,130251,0,83,0.8194470677117758,26751325,1441169519,540445,540445,213912882.19999352,2623247.4333332833,130738,0,83,0.25976926421744395,1503214170,-371021,-371021,1185346.5333399177,4944.716666713357,-487,0,0,0.5596778034943318,-1476462845,1269.585352331036,395.80879127384566,873.7765610571903,0.7687871848144301,0.2419080572491188,-487
13,2017-01-14,2017,165063,165063,215060303.38333315,2575966.433333334,125653,0,95,0.8118173061194817,26054675,1449579093,544588,544588,213878747.4833301,2571237.0333332717,126203,0,96,0.248900085936526,1514790395,-379525,-379525,1181555.9000030458,4729.4000000623055,-550,0,-1,0.5629172201829556,-1488735720,1302.898307817822,392.73496199572907,910.1633458220929,0.7612426770384642,0.23174032479599257,-550
14,2017-01-15,2017,165828,165828,215303506.56666672,2560756.0666666664,126070,0,120,0.8156644233784408,25511306,1458178561,551009,551009,214134374.0499956,2555816.8166666217,126540,0,120,0.24825728799348315,1526936778,-385181,-385181,1169132.5166711211,4939.2500000447035,-470,0,0,0.5674071353849577,-1501425472,1298.354358532134,388.6222803075732,909.7320782245608,0.7602455556359602,0.22965142130164842,-470
15,2017-01-16,2017,170492,170492,215980837.2166668,2621464.916666663,130559,0,61,0.8186777092180276,26278457,1470603925,560008,560008,214810998.48332825,2616571.0999999563,131211,0,61,0.25259103441379094,1539618813,-389516,-389516,1169838.7333385348,4893.816666706465,-652,0,0,0.5660866748042367,-1513340356,1266.8092181255824,383.5855889261015,883.2236291994809,0.7657778664101541,0.2343020099712861,-652
16,2017-01-17,2017,174415,174415,216372561.59999993,2663056.6666666702,133449,0,68,0.8167187455207413,27189499,1480791639,564210,564210,215188895.94999638,2657957.4999999655,134157,0,68,0.2559614327998444,1548682309,-389795,-389795,1183665.6500035524,5099.166666704696,-708,0,0,0.5607573127208969,-1521492810,1240.5616581142674,381.3985855443831,859.1630725698843,0.7651234125505261,0.237778486733663,-708
17,2017-01-18,2017,173933,173933,216803999.13333338,2655053.8166666697,133340,0,55,0.8217072090977566,27099564,1491680546,567313,567313,215623619.53332794,2649752.233333261,133898,0,56,0.254882225508665,1560246504,-393380,-393380,1180379.6000054479,5301.58333340846,-558,0,-1,0.5668249835890916,-1533146940,1246.4799614410915,380.0787564066537,866.4012050344378,0.7666170306957276,0.23602138502026218,-558
18,2017-01-19,2017,172032,172032,217165811.9833336,2607701.1999999993,130781,0,77,0.8136102585565481,26354044,1501959196,571343,571343,215990267.08332708,2602217.6666666204,131233,0,78,0.24743280306225945,1571450167,-399311,-399311,1175544.9000065029,5483.533333378844,-452,0,-1,0.5661774554942887,-1545096123,1262.3570730057988,378.0395788227511,884.3174941830478,0.7602132161458334,0.22969214639892324,-452
19,2017-01-20,2017,160527,160527,217106230.68333334,2538145.7166666687,120521,0,58,0.79024712353685,25586441,1509118048,569841,569841,215924045.01666197,2533668.6166666173,120967,0,59,0.22468021781513825,1581626413,-409314,-409314,1182185.6666713655,4477.100000051316,-446,0,-1,0.5655669057217118,-1556039972,1352.4592790205593,378.91981274892817,973.5394662716311,0.7507833573168377,0.21228202252909145,-446
