,year,num_segs,num_segs_distinct,avg_num_days,min_num_days,max_num_days,med_num_days,med_num_days_over1,earliest_seg_start
0,2012,6228813,6228813,3.9618394387502103,1,366,1,3,2012-01-01 00:00:00+00:00
1,2013,13116811,13116811,3.421319633255369,1,365,1,3,2012-01-01 00:00:03+00:00
2,2014,13569319,13569319,3.5934238114676207,1,365,1,3,2012-01-01 00:00:03+00:00
3,2015,14166806,14166806,3.6065618460505475,1,365,1,3,2012-01-01 00:00:03+00:00
4,2016,15330681,15330681,3.8893708635643756,1,366,1,3,2012-01-01 00:00:58+00:00
5,2017,20440684,20440684,3.584739972497979,1,365,1,3,2012-01-01 00:00:58+00:00
6,2018,21890183,21890183,3.6405816251056398,1,365,1,3,2012-01-01 00:00:58+00:00
7,2019,21394850,21394850,3.8869048859889186,1,365,1,3,2012-01-01 00:01:34+00:00
8,2020,21621884,21621884,3.9109370857784658,1,366,1,3,2012-01-01 00:04:12+00:00
9,2021,20663976,20663976,4.278764309443641,1,365,1,3,2012-01-01 00:04:12+00:00
10,2022,22430322,22430322,4.395140158933075,1,365,1,3,2012-01-01 00:04:12+00:00
