,year,num_segs,num_segs_distinct,avg_num_days,min_num_days,max_num_days,med_num_days,med_num_days_over1,earliest_seg_start
0,2012,6228813,6228813,3.9618394387502085,1,366,1,3,2012-01-01 00:00:00+00:00
1,2013,13116811,13116811,3.421319633255371,1,365,1,3,2012-01-01 00:00:03+00:00
2,2014,13569319,13569319,3.59342381146762,1,365,1,3,2012-01-01 00:00:03+00:00
3,2015,14166806,14166806,3.6065618460505506,1,365,1,3,2012-01-01 00:00:03+00:00
4,2016,15330681,15330681,3.88937086356438,1,366,1,3,2012-01-01 00:00:58+00:00
5,2017,20440684,20440684,3.584739972497984,1,365,1,3,2012-01-01 00:00:58+00:00
6,2018,21887231,21887231,3.6434481821843963,1,365,1,3,2012-01-01 00:00:58+00:00
7,2019,21394850,21394850,3.886904885988915,1,365,1,3,2012-01-01 00:01:34+00:00
8,2020,21624786,21624786,3.910734561720055,1,366,1,3,2012-01-01 00:04:12+00:00
9,2021,20663976,20663976,4.278764309443645,1,365,1,3,2012-01-01 00:04:12+00:00
10,2022,22430322,22430322,4.395140158933073,1,365,1,3,2012-01-01 00:04:12+00:00
11,2023,11645375,11645375,4.046500864076943,1,144,1,3,2012-01-01 00:04:12+00:00
