,date,year,num_segs_new,num_segs_distinct_new,sum_seg_length_h_new,sum_seg_day_length_h_new,num_segs_with_idents_new,min_num_idents_new,max_num_idents_new,avg_num_idents_new,avg_num_idents_non_zero_new,total_msg_count_new,total_cumul_msg_count_new,num_segs_old,num_segs_distinct_old,num_segs_stale_old,num_segs_with_stale_old,sum_seg_length_h_old,sum_seg_day_length_h_old,num_segs_with_idents_old,min_num_idents_old,max_num_idents_old,avg_num_idents_old,avg_num_idents_non_zero_old,avg_num_idents_active_only_old,total_msg_count_old,num_segs_diff,num_segs_distinct_diff,sum_seg_length_h_diff,sum_seg_day_length_h_diff,num_segs_with_idents_diff,min_num_idents_diff,max_num_idents_diff,avg_num_idents_diff,avg_num_idents_non_zero_diff,total_msg_count_diff,avg_seg_length_h_new,avg_seg_length_h_old,avg_seg_length_h_diff,prop_segs_with_idents_new,prop_segs_with_idents_old,prop_segs_with_idents_diff
29,2017-01-30,2017,138798,138798,217003484.51666668,2308767.2166666677,107689,0,70,0.8150765861179554,1.0505344092711422,24270524,1577632494,139104,139104,464943,604047,215900019.2833311,2306005.066666648,107883,0,71,0.18814926653058855,1.0534653281795974,0.8170217966413666,1676033523,-306,-306,1103465.2333355844,2762.1500000199303,-194,0,-1,-0.0019452105234112338,-0.0029309189084552045,-1651762999,1563.448209027988,1552.07628309273,11.371925935258105,0.775868528364962,0.7755564182194618,0.00031211014550025507
30,2017-01-31,2017,142450,142450,217328670.08333343,2346600.766666665,110954,0,82,0.8229764829764832,1.0565910197018573,24095038,1585438066,142815,142815,463022,605837,216167072.30000025,2343918.8999999547,111224,0,82,0.19469428245550716,1.0604995324749964,0.8259146448202237,1680666748,-365,-365,1161597.7833331823,2681.86666671047,-270,0,0,-0.0029381618437405166,-0.003908512773139083,-1656571710,1525.6487896337903,1513.6160228267356,12.032766807054713,0.7788978588978589,0.7787977453348738,0.00010011356298511576
31,2017-02-01,2017,143840,143840,217945563.71666646,2362574.1333333324,112466,0,78,0.8307911568409353,1.0625522380097094,23932339,1595056668,144226,144226,223776,368002,216761552.89999902,2358964.6666664705,112840,0,80,0.32743300308151246,1.067848280751508,0.8354665594275671,1669637133,-386,-386,1184010.8166674376,3609.466666861903,-374,0,-2,-0.004675402586631794,-0.005296042741798512,-1645704794,1515.1944084862796,1502.9297969852803,12.264611500999308,0.7818826473859845,0.7823832041379502,-0.0005005567519656973
32,2017-02-02,2017,150676,150676,218536311.63333362,2404289.6166666667,116182,0,87,0.8223539249780993,1.0665077206451943,24494106,1605267016,151067,151067,229667,380734,217358539.96666247,2401066.5166666135,116462,0,87,0.32739918158084547,1.070323367278591,0.8251438103622906,1677931826,-391,-391,1177771.6666711569,3223.1000000531785,-280,0,0,-0.0027898853841912263,-0.00381564663339673,-1653437720,1450.372399276153,1438.8221118223203,11.550287453832652,0.7710717035227906,0.7709294551424203,0.0001422483803703578
33,2017-02-03,2017,150832,150832,218992090.46666673,2407529.3999999994,116789,0,62,0.8221531240055155,1.0618037657656136,24359829,1614413611,151123,151123,234311,385434,217795805.39999682,2404078.8833332937,117040,0,62,0.32397245702247474,1.0669002050580978,0.8262805793955851,1685200885,-291,-291,1196285.0666699111,3450.51666670572,-251,0,0,-0.004127455390069534,-0.005096439292484156,-1660841056,1451.89409718539,1441.1823838859525,10.711713299437406,0.7742985573353135,0.7744684793181713,-0.00016992198285781246
34,2017-02-04,2017,152889,152889,219065606.26666683,2416825.0000000023,118206,0,59,0.8286534675483512,1.0717899260612833,24452453,1621082717,153315,153315,241577,394892,217869359.44999695,2413079.7166666146,118632,0,60,0.3238910892092028,1.078140805179043,0.8342432247333962,1692721730,-426,-426,1196246.8166698813,3745.2833333876915,-426,0,-1,-0.005589757185044952,-0.006350879117759778,-1668269277,1432.8408601447247,1421.057035841222,11.783824303502797,0.7731491474206778,0.7737794736327169,-0.0006303262120391784
35,2017-02-05,2017,149666,149666,218987782.5666669,2392874.116666666,116268,0,58,0.8293333155158821,1.0675594316578954,24224471,1626513832,149831,149831,248946,398777,217775578.46666285,2389319.0833332986,116588,0,58,0.3136991351055836,1.0729749202319268,0.8349140031101682,1699304451,-165,-165,1212204.1000040472,3555.033333367668,-320,0,0,-0.005580687594286093,-0.005415488574031402,-1675079980,1463.1765569111683,1453.4747713534773,9.701785557690982,0.7768497855224299,0.7781300264965194,-0.0012802409740895193
36,2017-02-06,2017,153688,153688,219554053.15000007,2449578.100000001,120167,0,48,0.8354718650772991,1.068529629598808,24607879,1636483450,154172,154172,254666,408838,218337015.0666666,2445463.4166664537,120606,0,49,0.31661440472754837,1.073279936321565,0.8396077108683836,1705414758,-484,-484,1217038.0833334625,4114.68333354732,-439,0,-1,-0.0041358457910845026,-0.004750306722757003,-1680806879,1428.5699153479782,1416.1911051725774,12.378810175400758,0.7818892821820832,0.7822821264561658,-0.00039284427408259326
37,2017-02-07,2017,155418,155418,220058337.6166667,2427255.066666665,122068,0,59,0.839471618474051,1.0688222957695719,24364974,1644790676,155669,155669,256003,411672,218829633.3833331,2423645.783333136,122385,0,59,0.31895538195456397,1.0728847489479836,0.8434884273683256,1709212349,-251,-251,1228704.2333336174,3609.2833335292526,-317,0,0,-0.004016808894274582,-0.004062453178411696,-1684847375,1415.9128132948995,1405.736745166559,10.176068128340376,0.7854173905210464,0.7861873590759881,-0.0007699685549417135
38,2017-02-08,2017,163747,163747,220735637.7333334,2511271.783333335,127870,0,70,0.8370718242166267,1.071932431375618,24579773,1653563613,164131,164131,260825,424956,219502883.8166634,2507263.7333332626,128224,0,70,0.32554899801391285,1.078924382330914,0.8428876933668834,1716771037,-384,-384,1232753.9166699946,4008.050000072457,-354,0,0,-0.0058158691502566695,-0.0069919509552960335,-1692191264,1348.0285912617232,1337.363958159418,10.664633102305288,0.7808998027444778,0.7812296275536005,-0.00032982480912269185
39,2017-02-09,2017,153794,153794,220968451.86666688,2498056.1833333345,121402,0,58,0.8440186223129648,1.0692163226305997,25099648,1660118106,154242,154242,268158,422400,219740109.0166669,2494511.166666433,121793,0,59,0.3100781249999957,1.075406632565095,0.8491655969191341,1723856111,-448,-448,1228342.849999994,3545.016666901298,-391,0,-1,-0.005146974606169308,-0.006190309934495319,-1698756463,1436.7820062334479,1424.6450967743344,12.13690945911344,0.7893806000234079,0.7896228005342254,-0.00024220051081746963
40,2017-02-10,2017,155476,155476,221283294.18333322,2500084.2999999966,121866,0,59,0.8380843345596752,1.069223573433118,24954676,1667459564,155872,155872,275126,430998,220049717.09999782,2496482.6333331103,122222,0,61,0.30469978979020607,1.0744792263258676,0.8425182200780148,1731203157,-396,-396,1233577.0833353996,3601.6666668863036,-356,0,-2,-0.004433885518339564,-0.0052556528927496515,-1706248481,1423.2633601541925,1411.7334550143569,11.529905139835591,0.783825156294219,0.7841177376308767,-0.0002925813366576602
41,2017-02-11,2017,160668,160668,221474997.01666656,2513371.516666667,126048,0,50,0.839594692160231,1.07019548108657,24920467,1673958954,161078,161078,280772,441850,220248882.13333356,2510241.7333330754,126466,0,50,0.30771302478216145,1.075095282526526,0.8440817492146659,1738341440,-410,-410,1226114.8833329976,3129.783333591651,-418,0,0,-0.004487057054434973,-0.004899801439956164,-1713420973,1378.4636456336455,1367.3430396040028,11.120606029642659,0.7845246097542758,0.7851227355691032,-0.0005981258148273216
42,2017-02-12,2017,166033,166033,221433354.21666673,2567318.183333334,128720,0,54,0.8320936199430237,1.073298632691112,25248922,1678478926,166432,166432,287036,453468,220174271.8666622,2563333.4833333082,129239,0,55,0.30798424585637546,1.0806412924891104,0.8391475197077481,1744815011,-399,-399,1259082.350004524,3984.7000000257976,-519,0,-1,-0.0070538997647244805,-0.007342659797998419,-1719566089,1333.6707414590276,1322.9082860667552,10.762455392272386,0.7752675672908398,0.7765273505095174,-0.0012597832186775904
43,2017-02-13,2017,167331,167331,222031709.91666645,2618719.666666668,129695,0,64,0.8354518887713578,1.0778904352519367,26035421,1689029102,167918,167918,290722,458640,220742586.9333294,2614557.933333287,130315,0,64,0.3088326356183571,1.0869278287227073,0.8435248156838443,1752829540,-587,-587,1289122.9833370447,4161.733333380893,-620,0,0,-0.008072926912486511,-0.009037393470770594,-1726794119,1326.9012311924655,1314.5856128189318,12.315618373533653,0.7750805290113607,0.7760633166188259,-0.0009827876074651742
44,2017-02-14,2017,171027,171027,222678807.7666666,2645436.4500000025,132668,0,81,0.8364351827489225,1.0782781077577086,25256805,1697620172,171409,171409,294073,465482,221394649.86666554,2641300.0999999125,133105,0,81,0.31019459399074556,1.0847826903572373,0.8423711707086555,1759605128,-382,-382,1284157.900001049,4136.350000089966,-437,0,0,-0.005935987959733047,-0.0065045825995286854,-1734348323,1302.0096696233145,1291.6162504108042,10.393419212510253,0.7757137761873856,0.7765344876873443,-0.0008207114999587706
45,2017-02-15,2017,174478,174478,223268387.93333343,2684538.1333333324,135443,0,86,0.8406274716583175,1.0828983409995347,25964794,1706922615,175118,175118,300186,475304,221967717.3333333,2680245.533333102,136086,0,88,0.31301440762122223,1.0932572050027127,0.8495814250962239,1767839357,-640,-640,1300670.6000001132,4292.6000002305955,-643,0,-2,-0.008953953437906392,-0.010358864003177981,-1741874563,1279.6363319921907,1267.5322772835077,12.104054708682952,0.7762755189766045,0.7771102913464064,-0.000834772369801895
46,2017-02-16,2017,173877,173877,223804885.25000033,2609316.05,135122,0,57,0.8338825721630805,1.0730525007030698,24239995,1714414025,174334,174334,307288,481622,222518851.316667,2603734.0666665505,135562,0,57,0.30369667498578545,1.0789675572800779,0.8390044397535721,1776436038,-457,-457,1286033.9333333373,5581.983333449345,-440,0,0,-0.005121867590491602,-0.005915056577008082,-1752196043,1287.144850957863,1276.393883675399,10.75096728246399,0.7771125565773507,0.7775993208438974,-0.000486764266546702
47,2017-02-17,2017,175801,175801,224471896.21666673,2681276.2500000023,137066,0,59,0.8402113753619154,1.0776560197277216,25350471,1722535056,176242,176242,316346,492588,223181857.36666602,2676039.549999941,137598,0,59,0.3031986162878502,1.0854227532376952,0.8474256987551186,1786284096,-441,-441,1290038.8500007093,5236.700000061188,-532,0,0,-0.00721432339320327,-0.007766733509973589,-1760933625,1276.8522148148572,1266.3375209465735,10.514693868283757,0.7796656446777891,0.7807333098807322,-0.0010676652029431022
48,2017-02-18,2017,171962,171962,224633909.1666666,2654375.8500000024,133247,0,60,0.8379467556785807,1.0814127147327905,25062900,1728574128,172301,172301,325366,497667,223315620.31666374,2649026.849999905,133751,0,61,0.29291875892916586,1.0899058698626534,0.8460542887156712,1793164691,-339,-339,1318288.850002855,5349.000000097323,-504,0,-1,-0.008107533037090553,-0.008493155129862817,-1768101791,1306.2997009029123,1296.078492386369,10.221208516543356,0.7748630511392052,0.7762636316678371,-0.0014005805286319006
49,2017-02-19,2017,170315,170315,224812949.2333332,2625187.0500000045,131969,0,137,0.8326806212018906,1.0746311633792787,24737952,1734553655,170454,170454,334180,504634,223489498.98333192,2620350.716666501,132261,0,137,0.28359959891723363,1.082057447017635,0.8396048200687564,1803355019,-139,-139,1323450.2500012815,4836.333333503455,-292,0,0,-0.006924198866865794,-0.00742628363835629,-1778617067,1319.9832617992145,1311.1425896918342,8.840672107380215,0.7748524792296627,0.7759336829877855,-0.0010812037581228173
50,2017-02-20,2017,171242,171242,225283787.63333365,2624643.2333333334,132376,0,119,0.8286752081849076,1.071976793376443,24543670,1741868108,171422,171422,342419,513841,223969077.9499943,2619651.3999999417,132709,0,118,0.27894426486014146,1.0800548568672756,0.8361412187467138,1811688155,-180,-180,1314709.6833393574,4991.833333391696,-333,0,1,-0.00746601056180618,-0.008078063490832621,-1787144485,1315.587225291305,1306.5363719358909,9.05085335541412,0.7730346527137034,0.774165509677871,-0.0011308569641675925
51,2017-02-21,2017,172239,172239,225839250.9166668,2663990.050000001,133570,0,68,0.8349734961303766,1.0767013550947062,25059877,1750092896,172695,172695,347156,519851,224545191.33333045,2659433.5166665,134075,0,68,0.28002254492152584,1.0857355957486532,0.8429311792466467,1816507965,-456,-456,1294059.5833363533,4556.533333501313,-505,0,0,-0.007957683116270098,-0.009034240653946979,-1791448088,1311.1969467813144,1300.241415983847,10.955530797467418,0.7754921939862632,0.7763687425808506,-0.0008765485945874119
