,date,year,num_segs_new,num_segs_distinct_new,sum_seg_length_h_new,sum_seg_day_length_h_new,num_segs_with_idents_new,min_num_idents_new,max_num_idents_new,avg_num_idents_new,avg_num_idents_non_zero_new,sum_num_idents_new,total_msg_count_new,total_pos_count_new,total_ident_count_new,num_segs_old,num_segs_distinct_old,sum_seg_length_h_old,sum_seg_day_length_h_old,num_segs_with_idents_old,min_num_idents_old,max_num_idents_old,avg_num_idents_old,avg_num_idents_non_zero_old,sum_num_idents_old,total_msg_count_old,total_pos_count_old,total_ident_count_old,num_segs_diff,num_segs_distinct_diff,sum_seg_length_h_diff,sum_seg_day_length_h_diff,num_segs_with_idents_diff,min_num_idents_diff,max_num_idents_diff,avg_num_idents_diff,avg_num_idents_non_zero_diff,sum_num_idents_diff,total_msg_count_diff,total_pos_count_diff,total_ident_count_diff,avg_seg_length_h_new,avg_seg_length_h_old,avg_seg_length_h_diff,prop_segs_with_idents_new,prop_segs_with_idents_old,prop_segs_with_idents_diff,ratio
1533,2021-03-14,2021,230788,230788,478413597.88332874,3649863.1166662225,175266,0,70,0.853657902490599,1.1240856754875255,197014,254480309,56209657,198270652,231453,231453,432273501.9500043,3645417.399999358,177506,0,72,0.8652382989203006,1.128198483431545,200262,7093926965,56079038,177470486,-665,-665,46140095.933324456,4445.716666864231,-2240,0,-2,-0.011580396429701545,-0.004112807944019581,-3248,-6839446656,130619,20800166,2072.956990325878,1867.6513242429533,205.30566608292474,0.7594242334956757,0.7669202818714814,-0.007496048375805753,-4.88421052631579
1534,2021-03-15,2021,237808,237808,479190727.65000063,3717177.649999591,178955,0,174,0.845736896992525,1.123874717107655,201123,256664732,56695229,199969503,238493,238493,433173450.5000116,3713601.3666659263,181208,0,175,0.8569224253961434,1.1278199637985327,204370,7117278136,56600330,179869288,-685,-685,46017277.14998901,3576.28333366476,-2253,0,-1,-0.011185528403618417,-0.003945246690877591,-3247,-6860613404,94899,20100215,2015.0319907236117,1816.2941910245233,198.73779969908833,0.7525188387270403,0.7598042709848927,-0.007285432257852387,-4.74014598540146
1535,2021-03-16,2021,238943,238943,479726406.06666285,3699013.3166662455,179780,0,225,0.8466538044638298,1.1252753365224157,202302,252880335,55727249,197153086,239549,239549,433830633.3666797,3694798.6333326185,181934,0,228,0.858087489407166,1.1298273000098964,205554,7135570544,55638715,179734073,-606,-606,45895772.69998312,4214.683333626948,-2154,0,-3,-0.011433684943336186,-0.004551963487480659,-3252,-6882690209,88534,17419013,2007.702280739184,1811.0308678670324,196.67141287215168,0.7523970151877226,0.7594855332311969,-0.007088518043474323,-5.366336633663367
1536,2021-03-17,2021,243473,243473,480519516.9166632,3757895.2999996105,180990,0,120,0.836080386736924,1.1247195977678617,203563,252349550,57157323,195192227,244244,244244,434801625.4833389,3753960.133332608,183276,0,120,0.8483770328032629,1.1305953861935292,207211,7158433279,57032188,176779359,-771,-771,45717891.43332434,3935.166667002719,-2286,0,0,-0.012296646066338957,-0.005875788425667494,-3648,-6906083729,125135,18412868,1973.6049455860125,1780.1936812504664,193.4112643355461,0.7433678477695679,0.7503807667742094,-0.007012919004641516,-4.7315175097276265
1537,2021-03-18,2021,237964,237964,481120139.3999977,3550212.149999778,177666,0,130,0.8399043552806319,1.1249591930926446,199867,249540550,56359410,193181140,238606,238606,435529116.7666748,3546457.9499995913,179834,0,131,0.8515167263187051,1.1298030405818595,203177,7179704955,56237267,173974537,-642,-642,45591022.633322895,3754.200000186451,-2168,0,-1,-0.011612371038073221,-0.0048438474892149586,-3310,-6930164405,122143,19206603,2021.8190121194707,1825.3066426103067,196.51236950916405,0.7466087307323797,0.7536859928082278,-0.007077262075848134,-5.155763239875389
1538,2021-03-19,2021,237863,237863,481648846.11665857,3710624.5833331104,177179,0,129,0.8378982859881592,1.1248793592920343,199305,241278575,55040619,186237956,238526,238526,436183758.450007,3706278.216666268,179361,0,130,0.8494587592128469,1.1296658693918833,202618,7195911205,54917959,165955534,-663,-663,45465087.66665155,4346.366666842252,-2182,0,-1,-0.011560473224687673,-0.004786510099848984,-3313,-6954632630,122660,20282422,2024.9002413854132,1828.6633677251411,196.23687366027207,0.7448783543468299,0.751955761636048,-0.0070774072892181294,-4.996983408748115
1539,2021-03-20,2021,230466,230466,481820366.34999996,3622509.133333015,172813,0,128,0.8408658977896863,1.1213913305133267,193791,253248107,57162036,196086071,231011,231011,436401806.4666712,3618239.916666001,174889,0,129,0.8526823398020024,1.1263086872244465,196979,7214096685,57032718,173338535,-545,-545,45418559.883328736,4269.2166670137085,-2076,0,-1,-0.01181644201231602,-0.0049173567111198135,-3188,-6960848578,129318,22747536,2090.635349031961,1889.0953524579836,201.53999657397753,0.7498416252288841,0.7570591876577306,-0.0072175624288465245,-5.84954128440367
1540,2021-03-21,2021,218149,218149,481790933.41666436,3547345.9499996398,164895,0,134,0.8510650977084483,1.125922556778553,185659,253285578,56648615,196636963,218677,218677,436498665.100003,3543594.966665982,166517,0,135,0.8625689944530156,1.1327612195751517,188624,7231544515,56508179,173850555,-528,-528,45292268.31666136,3750.9833336579613,-1622,0,-1,-0.01150389674456731,-0.006838662796598838,-2965,-6978258937,140436,22786408,2208.54064614857,1996.0885923073895,212.4520538411805,0.7558824473181174,0.7614746864096361,-0.005592239091518736,-5.615530303030303
1541,2021-03-22,2021,234387,234387,482546101.86666757,3674283.283332921,175275,0,138,0.8421286163481746,1.1261389245471238,197384,255453591,56734379,198719212,234758,234758,437362446.7500043,3670343.233332605,176810,0,138,0.8519454076112315,1.1311633957355245,200001,7253761570,56595599,176485528,-371,-371,45183655.11666328,3940.0500003159977,-1535,0,0,-0.009816791263056901,-0.005024471188400659,-2617,-6998307979,138780,22233684,2058.757959556919,1863.0353246747898,195.72263488212934,0.7478017125523173,0.7531585718058597,-0.005356859253542345,-7.053908355795148
1542,2021-03-23,2021,239506,239506,483322629.8166688,3701752.3499994143,177930,0,127,0.8327014772072578,1.1208733771708035,199437,257093401,56507097,200586304,239995,239995,438223172.1000009,3697766.1666659573,179882,0,129,0.8435592408175085,1.1254600237934203,202450,7271802956,56373620,178634028,-489,-489,45099457.71666789,3986.183333456982,-1952,0,-2,-0.010857763610250704,-0.0045866466226167635,-3013,-7014709555,133477,21952276,2017.9980034599084,1825.9679247484362,192.03007871147224,0.7429041443638155,0.749523948415592,-0.006619804051776534,-6.161554192229039
1543,2021-03-24,2021,241792,241792,483922167.9166632,3778075.9166663243,178794,0,58,0.8333360905240929,1.1269617548687416,201494,260955789,57534750,203421039,246858,246858,438944816.73333013,3778688.0166660114,182630,0,59,0.8365335537029375,1.1307287959261798,206505,7287860483,57415119,181392555,-5066,-5066,44977351.1833331,-612.0999996871687,-3836,0,-1,-0.0031974631788446173,-0.003767041057438192,-5011,-7026904694,119631,22028484,2001.3985901794238,1778.126764104587,223.27182607483678,0.7394537453679195,0.7398180330392371,-0.0003642876713175758,-0.9891433083300434
1544,2021-03-25,2021,246021,246021,485024295.03333414,3808545.4999996014,180373,0,160,0.8229622674487231,1.1224850725995583,202466,260670500,57863565,202806935,246754,246754,439835132.5166771,3804029.8833325254,182411,0,160,0.8334900346093762,1.127492311318991,205667,7305176498,57748123,179754317,-733,-733,45189162.516657054,4515.616667076014,-2038,0,0,-0.010527767160653068,-0.0050072387194326495,-3201,-7044505998,115442,23052618,1971.4751790836317,1782.4843062997036,188.99087278392813,0.7331609903219644,0.7392423223129109,-0.006081331990946515,-4.3669849931787175
1545,2021-03-26,2021,245237,245237,485167075.3833403,3759229.2499996237,179117,0,80,0.8138127607171927,1.1142270136279444,199577,254115644,57797216,196318428,245759,245759,439991925.3166671,3755223.0333326855,181135,0,80,0.8239576170150599,1.1179230960333595,202495,7310830809,57664889,172958988,-522,-522,45175150.06667322,4006.2166669382714,-2018,0,0,-0.01014485629786721,-0.00369608240541508,-2918,-7056715165,132327,23359440,1978.3600165690345,1790.3390122708306,188.02100429820393,0.7303832619058299,0.7370432008593785,-0.00665993895354855,-5.590038314176245
1546,2021-03-27,2021,234717,234717,485147586.2666637,3695013.866666438,174271,0,77,0.827826701943183,1.1149588858731576,194305,249179412,56908907,192270505,235217,235217,440084094.71667343,3691041.2833326785,176206,0,78,0.8380559228286975,1.118718999353054,197125,7323090566,56779671,169221854,-500,-500,45063491.54999024,3972.5833337595686,-1935,0,-1,-0.010229220885514478,-0.0037601134798963542,-2820,-7073911154,129236,23048651,2066.94694575452,1870.9706131643268,195.97633259019335,0.7424728502835329,0.7491210244157522,-0.006648174132219298,-5.64
1547,2021-03-28,2021,237001,237001,485990937.2166618,3698548.73333313,172715,0,82,0.8171653284163385,1.1213212517731503,193669,253259731,56964436,196295295,237518,237518,441001012.63333946,3695058.649999296,174710,0,82,0.8272594077080542,1.1246580046934775,196489,7346810934,56904607,173798698,-517,-517,44989924.583322346,3490.0833338340744,-1995,0,0,-0.010094079291715685,-0.0033367529203272017,-2820,-7093551203,59829,22496597,2050.586019538575,1856.705650238464,193.88036930011094,0.7287521993578087,0.7355653045242887,-0.006813105166480038,-5.454545454545454
1548,2021-03-29,2021,246468,246468,486972112.150002,3795741.7166662025,179123,0,87,0.8161059447879604,1.122937869508665,201144,263740558,57523195,206217363,246878,246878,442182231.766667,3791213.1833326574,181134,0,87,0.8260922398917631,1.1259288703390706,203944,7371811506,57393049,183156422,-410,-410,44789880.383334994,4528.533333545085,-2011,0,0,-0.009986295103802667,-0.00299100083040571,-2800,-7108070948,130146,23060941,1975.8025875570136,1791.0961356081425,184.70645194887106,0.7267596604833082,0.7336984259431785,-0.006938765459870266,-6.829268292682927
1549,2021-03-30,2021,253151,253151,487623304.31666833,3891438.3666662313,183494,0,104,0.8148891373133119,1.1242329449464425,206290,266586569,58728205,207858364,253874,253874,442997568.26667875,3887305.749999334,185676,0,104,0.8247516484555384,1.1276793985221478,209383,7388806812,58601419,184106461,-723,-723,44625736.04998958,4132.6166668972,-2182,0,0,-0.009862511142226471,-0.0034464535757052772,-3093,-7122220243,126786,23751903,1926.2152008748467,1744.9505198117126,181.26468106313405,0.7248401151881684,0.7313706799435941,-0.006530564755425683,-4.278008298755187
1550,2021-03-31,2021,252200,252200,488522524.56666225,3880635.783333008,184363,0,146,0.8217287866772367,1.1240867202204614,207240,261997836,58391430,203606406,252843,252843,443973447.1333326,3876612.4166660574,186642,0,147,0.8327064621128627,1.128063351228554,210544,7408023004,58264167,179589161,-643,-643,44549077.43332964,4023.366666950751,-2279,0,-1,-0.010977675435626,-0.003976631008092646,-3304,-7146025168,127263,24017245,1937.0441100977885,1755.9254048296082,181.1187052681803,0.7310190325138779,0.7381734910596695,-0.007154458545791553,-5.138413685847589
1551,2021-04-01,2021,242976,242976,488754904.7333262,3794234.299999667,178721,0,127,0.8262585605162647,1.1233207065761601,200761,255435509,57504421,197931088,243614,243614,444322451.1833463,3789536.2833326044,181103,0,128,0.8380758084510584,1.1273529428004903,204167,7423549551,57378146,174883697,-638,-638,44432453.549979925,4698.016667062417,-2382,0,-1,-0.011817247934793773,-0.004032236224330132,-3406,-7168114042,126275,23047391,2011.5357267109764,1823.8789691206018,187.65675759037458,0.735550013170025,0.7434014465506908,-0.007851433380665851,-5.338557993730408
1552,2021-04-02,2021,237948,237948,488729014.26666474,3728331.5166661693,177275,0,124,0.8349009027182408,1.120648709631935,198663,249772414,57103951,192668463,238555,238555,444411907.5000144,3723743.9666659185,179386,0,124,0.8452600029343269,1.1240620784230584,201641,7435437658,56968808,170195893,-607,-607,44317106.76665032,4587.550000250805,-2111,0,0,-0.010359100216086103,-0.0034133687911233057,-2978,-7185665244,135143,22472570,2053.9320114758884,1862.9326884786085,190.99932299727993,0.745015717719838,0.7519691475760307,-0.006953429856192739,-4.9060955518945635
1553,2021-04-03,2021,227477,227477,488401157.18333155,3617192.6166663887,171172,0,142,0.8433116315056082,1.1207089944617386,191834,255255818,57084780,198171038,228002,228002,444136975.36668116,3613430.933332683,173000,0,143,0.8529618161244211,1.1241445086705026,194477,7446107309,56951836,175278311,-525,-525,44264181.81665039,3761.683333705645,-1828,0,-1,-0.009650184618812951,-0.00343551420876409,-2643,-7190851491,132944,22892727,2147.0353362464407,1947.9521029055936,199.08323334084707,0.7524804705530669,0.7587652739888247,-0.006284803435757769,-5.034285714285715
1554,2021-04-04,2021,221212,221212,488179823.33333534,3583696.5499997223,166421,0,150,0.8440229282317369,1.1219016830808748,186708,250151210,56934821,193216389,221736,221736,444051694.933337,3579920.4499993175,167972,0,151,0.8530143954973443,1.1260448169933241,189144,7458606357,56791444,171586073,-524,-524,44128128.39999837,3776.100000404753,-1551,0,-1,-0.0089914672656074,-0.004143133912449359,-2436,-7208455147,143377,21630316,2206.8415064885057,2002.6143473921104,204.22715909639533,0.7523145218161763,0.7575314788757802,-0.0052169570596038994,-4.648854961832061
1555,2021-04-05,2021,231361,231361,489030072.23333263,3665325.5333329444,171254,0,134,0.8284888118567924,1.1192731264671114,191680,253253417,57499613,195753804,231983,231983,444967894.3333409,3661313.633332578,173245,0,136,0.8390356189893248,1.1235071719241467,194642,7481752204,57371975,173525497,-622,-622,44062177.89999175,4011.9000003663823,-1991,0,-2,-0.01054680713253242,-0.004234045457035318,-2962,-7228498787,127638,22228307,2113.71005585787,1918.1056126239462,195.6044432339238,0.740202540618341,0.7468004120991625,-0.006597871480821471,-4.762057877813505
